Rowid_,VALUE,COUNT,US_200BPS,US_200EVT,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
,65735,19681,996,7054,11262_16_23,Inter-Mountain Basins Montane Sagebrush Steppe - Low Sagebrush,Shrubland,222.000000000000000,NA,NA,222.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65736,5,989,9829,11030_6_7_12_13_16_17_23,Great Basin Semi-Desert Chaparral,Shrubland,50.000000000000000,NA,NA,50.000000000000000,Western North American Ruderal Wet Meadow & Marsh,Riparian
,65739,15702,978,7054,10612_16_23,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation,Hardwood-Conifer,71.000000000000000,60,NA,33.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65740,2210,973,9001,10540_16_23_24,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,279.000000000000000,227,20,17.000000000000000,Colorado Plateau Mixed Bedrock Canyon and Tableland,Sparsely Vegetated
,65752,810,974,7054,10550_16_23_24,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,217.000000000000000,6887,NA,210.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65756,1,608,7920,10980_6,California Montane Woodland and Chaparral,Shrubland,93.000000000000000,54,NA,34.000000000000000,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed
,65763,1,1060,7057,10790_6_9_10_12_16_17_18,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,94.000000000000000,830,NA,84.000000000000000,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer
,65764,1,1075,7135,11590_12_17,Rocky Mountain Montane Riparian Systems,Riparian,373.000000000000000,NA,NA,373.000000000000000,Inter-Mountain Basins Semi-Desert Grassland,Grassland
,65768,591,980,9328,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Interior Western North American Temperate Ruderal Shrubland,Exotic Tree-Shrub
,65770,31,970,7199,10500_16_23_28,Rocky Mountain Lodgepole Pine Forest,Conifer,154.000000000000000,NA,661,125.000000000000000,Recently Disturbed Other-Shrub Cover,Shrubland
,65771,16,995,9009,11261_16_23_24,Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush,Shrubland,49.000000000000000,NA,NA,49.000000000000000,Inter-Mountain Basins Shale Badland,Sparsely Vegetated
,65775,766,618,7082,11530_6_10_12_13_17_18_19_21,Inter-Mountain Basins Greasewood Flat,Shrubland,1037.000000000000000,NA,NA,1037.000000000000000,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland
,65778,31,991,9022,11072_16,Rocky Mountain Gambel Oak-Mixed Montane Shrubland - Patchy,Shrubland,153.000000000000000,52,NA,39.000000000000000,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian
,65779,2302,973,9328,10540_16_23_24,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,279.000000000000000,227,20,17.000000000000000,Interior Western North American Temperate Ruderal Shrubland,Exotic Tree-Shrub
,65786,208,980,7921,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed
,65787,589,980,7968,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Western Cool Temperate Wheat,Agricultural
,65792,243,994,7923,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117.000000000000000,NA,NA,117.000000000000000,Western Cool Temperate Developed Ruderal Shrubland,Developed
,65799,83751,1002,7080,11530_16_23_24_25_27,Inter-Mountain Basins Greasewood Flat,Shrubland,208.000000000000000,NA,NA,208.000000000000000,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland
